Epoch: 3/60 Setp: 150, ranking_loss: 10.49, id_loss: 15.37
Epoch: 3/60 Setp: 200, ranking_loss: 9.41, id_loss: 15.99
Epoch: 3/60 Setp: 250, ranking_loss: 10.94, id_loss: 17.37
Epoch: 3/60 Setp: 300, ranking_loss: 7.71, id_loss: 15.16
Epoch: 3/60 Setp: 350, ranking_loss: 8.42, id_loss: 16.80
Epoch: 3/60 Setp: 400, ranking_loss: 7.81, id_loss: 17.03
Epoch: 3/60 Setp: 450, ranking_loss: 10.97, id_loss: 17.18
Epoch: 3/60 Setp: 500, ranking_loss: 10.45, id_loss: 15.63
Epoch: 3/60 Setp: 550, ranking_loss: 7.88, id_loss: 14.49
Epoch: 3/60 Setp: 600, ranking_loss: 8.99, id_loss: 15.52
Epoch: 3/60 Setp: 650, ranking_loss: 8.99, id_loss: 16.20
Epoch: 3/60 Setp: 700, ranking_loss: 7.63, id_loss: 14.52
Epoch: 3/60 Setp: 750, ranking_loss: 11.41, id_loss: 15.62
Epoch: 3/60 Setp: 800, ranking_loss: 10.07, id_loss: 14.74
Epoch: 3/60 Setp: 850, ranking_loss: 12.41, id_loss: 16.41
Epoch: 3/60 Setp: 900, ranking_loss: 10.89, id_loss: 15.28
Epoch: 3/60 Setp: 950, ranking_loss: 9.02, id_loss: 14.96
Epoch: 3/60 Setp: 1000, ranking_loss: 11.62, id_loss: 15.08
Epoch: 3/60 Setp: 1050, ranking_loss: 10.73, id_loss: 15.42
Epoch: 3/60 , ranking_loss: 9.63, id_loss: 15.37
lr:0.001
lr:0.0001
Epoch: 4/60 Setp: 50, ranking_loss: 9.02, id_loss: 12.01
Epoch: 4/60 Setp: 100, ranking_loss: 8.33, id_loss: 11.41
Epoch: 4/60 Setp: 150, ranking_loss: 6.28, id_loss: 11.57
Epoch: 4/60 Setp: 200, ranking_loss: 8.61, id_loss: 13.48
Epoch: 4/60 Setp: 250, ranking_loss: 10.38, id_loss: 13.73
Epoch: 4/60 Setp: 300, ranking_loss: 8.06, id_loss: 12.27
Epoch: 4/60 Setp: 350, ranking_loss: 8.29, id_loss: 13.40
Epoch: 4/60 Setp: 400, ranking_loss: 8.92, id_loss: 12.88
Epoch: 4/60 Setp: 450, ranking_loss: 8.01, id_loss: 12.10
Epoch: 4/60 Setp: 500, ranking_loss: 9.01, id_loss: 11.90
Epoch: 4/60 Setp: 550, ranking_loss: 9.17, id_loss: 13.64
Epoch: 4/60 Setp: 600, ranking_loss: 10.57, id_loss: 13.46
Epoch: 4/60 Setp: 650, ranking_loss: 6.52, id_loss: 12.34
Epoch: 4/60 Setp: 700, ranking_loss: 9.25, id_loss: 12.51
